q_Ainv,amp_fit,omega0_fit_meV,gamma_fit_meV,elastic_fit,background_fit,slice_r2,slice_mae,success,q_index
0.25,57.876865018775824,6.39421077028435,0.6077375112376859,40.47086714642408,0.889276199731332,0.8886486533309671,1.7603690849130496,1.0,0.0
0.3595238095238095,78.37305259233459,8.359993159066683,0.7907049138425625,33.93505198842828,1.266027937354833,0.8926782940767549,1.8448212229738514,1.0,1.0
0.46904761904761905,109.99893988777431,10.100014281906306,1.1024012265195928,33.55570548197816,0.8167922409079478,0.8840319503619742,1.8900854685534716,1.0,2.0
0.5785714285714285,149.12711799137807,11.666495464195078,1.5279468547697683,33.90137877638249,0.3650874198389096,0.901850193346377,1.8775452967549233,1.0,3.0
0.6880952380952381,154.9332926906628,12.94230652802559,1.3935015539039721,26.102877652521666,1.135843985965553,0.8714515380074968,1.9774988567587781,1.0,4.0
0.7976190476190476,159.80588660776704,13.517091319407273,1.380672617811172,32.12521348775644,0.7683489327169911,0.8880027471767197,1.9457703542492129,1.0,5.0
0.907142857142857,155.1064565566608,13.806453383855418,1.5274198258377585,23.645265386301723,1.3211196947858554,0.8841637444476618,1.8671241322613403,1.0,6.0
1.0166666666666666,169.19424922541475,14.104196099557777,1.7169773245620903,27.951435127998046,0.7926876653988972,0.8847299592263546,1.9293487998548684,1.0,7.0
1.1261904761904762,139.6723585236145,13.212017464489769,1.7766885302277517,27.461367594878833,0.7057810183610559,0.8687250931472067,1.8270684793237657,1.0,8.0
1.2357142857142855,111.84611620553879,12.5053586858936,1.1200538548242707,22.313566443658107,1.2518777764608666,0.8433735205269044,1.9057517267328334,1.0,9.0
1.3452380952380951,94.23950872315032,11.040497385174167,1.2757255013721882,24.767679816282953,0.8602276504924197,0.8683401222191125,1.6244036833564777,1.0,10.0
1.4547619047619047,65.1581430593595,9.454292466681101,0.9212670838721114,23.758840428140026,0.8425627463672879,0.8171361196715967,1.6761607840817088,1.0,11.0
1.564285714285714,43.31438302456757,7.491601823443757,0.8942827726321566,18.928045333663743,0.8565142063773473,0.80842708511574,1.4116958642567632,1.0,12.0
1.6738095238095236,29.538193316435077,5.367397373822794,0.5510724633301417,19.87976810962885,0.9536245542814542,0.8371842996132004,1.3715687661756022,1.0,13.0
1.7833333333333332,19.27751347199664,3.849913715965484,0.5072122925612489,25.023016296347027,0.9673649468593146,0.8563750233493097,1.3489561801870076,1.0,14.0
1.8928571428571426,13.482779526143295,3.140406987346449,0.1867811605897415,24.3488777726894,0.9513956294645808,0.8827984404707523,1.129234119467317,1.0,15.0
2.0023809523809524,17.62030438275092,4.321214777345333,0.3934561328572389,19.36421778353862,0.9798976562968256,0.8542049219504532,1.157689465013542,1.0,16.0
2.1119047619047615,23.89804077559496,6.212418134436645,0.4526850767531497,16.165297733498477,1.0445198316380249,0.7714305379413039,1.2911491346056714,1.0,17.0
2.221428571428571,27.24983547229659,8.136068931144152,0.5364967875812996,18.354003774929904,1.0240139537214865,0.7830304866492105,1.1630824015388912,1.0,18.0
2.3309523809523807,33.60108592420328,9.508351262564725,0.7841661112344845,17.622726598483542,0.9648294043626662,0.7639547920515981,1.2364424080013545,1.0,19.0
2.4404761904761902,44.248645809769975,11.475685123820291,1.5470947022245531,13.716744602657633,0.7275369490940742,0.6367501449793851,1.3055003757492238,1.0,20.0
2.55,48.55612258007762,12.822812089500564,1.5954470591776093,11.558765261927508,0.8431797656788695,0.67172556143684,1.286668414172121,1.0,21.0
